Team,Match Up,Game Date,Season,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
ATL,ATL @ ORL,12/30/2019,,W,12,103.8,80.8,23.1,12.5,0.11,3.0,54.5,71.4,64.0,34.6,47.4,57.7,104.0,64.3
MIL,MIL @ CHI,12/30/2019,,W,12,116.7,104.2,12.5,90.0,1.5,25.7,25.0,82.4,64.0,25.0,69.4,70.9,96.0,63.5
WAS,WAS vs. MIA,12/30/2019,,W,12,137.5,104.3,33.2,30.0,1.5,10.0,30.0,87.5,55.6,8.3,60.0,66.4,94.0,62.4
MIA,MIA @ WAS,12/30/2019,,L,12,104.3,137.5,-33.2,66.7,0.8,14.3,12.5,70.0,44.4,21.7,50.0,61.2,94.0,37.6
BKN,BKN @ MIN,12/30/2019,,L,12,92.0,120.8,-28.8,71.4,0.83,15.2,27.3,61.5,45.8,24.0,52.9,54.9,98.0,31.6
POR,POR vs. PHX,12/30/2019,,L,12,117.4,169.6,-52.2,41.7,5.0,16.7,16.7,44.4,28.6,4.3,54.3,55.5,92.0,29.8
UTA,UTA vs. DET,12/30/2019,,W,12,138.5,88.5,50.0,66.7,5.0,25.0,33.3,100.0,66.7,7.7,66.0,65.1,104.0,73.8
CHI,CHI vs. MIL,12/30/2019,,L,12,104.2,116.7,-12.5,77.8,0.0,20.6,17.6,75.0,36.0,0.0,46.0,46.7,96.0,36.5
DET,DET @ UTA,12/30/2019,,L,12,88.5,138.5,-50.0,50.0,0.75,10.3,0.0,66.7,33.3,15.4,43.8,52.9,104.0,26.2
ORL,ORL vs. ATL,12/30/2019,,L,12,80.8,103.8,-23.1,50.0,1.25,14.3,28.6,45.5,36.0,15.4,43.5,42.4,104.0,35.7
PHX,PHX @ POR,12/30/2019,,W,12,169.6,117.4,52.2,66.7,10.0,26.3,55.6,83.3,71.4,4.3,70.8,74.4,92.0,70.2
MIN,MIN vs. BKN,12/30/2019,,W,12,120.8,92.0,28.8,40.0,1.0,12.1,38.5,72.7,54.2,16.7,50.0,56.8,98.0,68.4
SAC,SAC @ DEN,12/29/2019,,L,12,147.8,133.3,14.5,84.6,3.67,30.6,25.0,54.5,42.1,13.0,76.2,77.7,94.0,52.0
OKC,OKC @ TOR,12/29/2019,,W,12,104.8,85.0,19.8,33.3,0.6,11.5,28.6,66.7,50.0,23.8,62.5,65.2,82.0,63.8
LAL,LAL vs. DAL,12/29/2019,,W,12,96.0,104.0,-8.0,37.5,0.6,10.0,18.2,80.0,53.8,20.0,52.6,57.8,100.0,46.4
CHA,CHA @ MEM,12/29/2019,,L,12,120.8,129.2,-8.3,63.6,7.0,20.6,23.1,45.5,33.3,4.2,52.2,54.7,96.0,40.9
NOP,NOP vs. HOU,12/29/2019,,W,12,178.3,82.6,95.7,66.7,5.0,25.0,63.6,80.0,71.4,8.7,76.0,75.4,92.0,83.6
HOU,HOU @ NOP,12/29/2019,,L,12,82.6,178.3,-95.7,66.7,1.2,19.4,20.0,36.4,28.6,21.7,47.4,46.8,92.0,16.4
MEM,MEM vs. CHA,12/29/2019,,W,12,129.2,120.8,8.3,75.0,2.25,23.1,54.5,76.9,66.7,16.7,54.3,60.5,96.0,59.1
DAL,DAL @ LAL,12/29/2019,,L,12,104.0,96.0,8.0,37.5,1.5,9.7,20.0,81.8,46.2,8.0,41.3,49.8,100.0,53.6
DEN,DEN vs. SAC,12/29/2019,,W,12,133.3,147.8,-14.5,50.0,2.5,14.7,45.5,75.0,57.9,8.3,52.5,63.3,94.0,48.0
TOR,TOR vs. OKC,12/29/2019,,L,12,85.0,104.8,-19.8,80.0,0.57,14.8,33.3,71.4,50.0,35.0,42.9,52.5,82.0,36.2
MIN,MIN vs. CLE,12/28/2019,,L,12,103.7,100.0,3.7,44.4,1.33,10.5,36.8,66.7,48.4,11.1,40.4,46.7,108.0,40.9
MEM,MEM @ DEN,12/28/2019,,L,12,161.5,137.0,24.5,87.5,4.67,31.8,40.0,75.0,55.6,11.5,75.0,75.6,106.0,53.3
PHX,PHX @ SAC,12/28/2019,,W,12,129.2,143.5,-14.3,71.4,5.0,27.0,33.3,75.0,52.9,8.3,65.2,64.9,94.0,49.2
POR,POR vs. LAL,12/28/2019,,L,12,119.0,113.6,5.4,33.3,0.75,10.7,36.4,57.1,48.0,19.0,52.5,57.4,86.0,45.8
DEN,DEN vs. MEM,12/28/2019,,W,12,137.0,161.5,-24.5,63.6,2.33,19.4,25.0,60.0,44.4,11.1,71.9,75.9,106.0,46.7
WAS,WAS vs. NYK,12/28/2019,,L,12,91.7,84.0,7.7,33.3,1.0,10.0,20.0,66.7,43.3,12.5,45.8,45.8,98.0,43.9
SAS,SAS vs. DET,12/28/2019,,W,12,145.8,120.8,25.0,71.4,0.0,27.8,18.2,66.7,46.2,0.0,70.8,70.3,96.0,62.5
LAL,LAL @ POR,12/28/2019,,W,12,113.6,119.0,-5.4,70.0,3.5,20.0,42.9,63.6,52.0,9.1,47.8,49.6,86.0,54.2
DAL,DAL @ GSW,12/28/2019,,W,12,88.9,88.5,0.4,62.5,5.0,14.7,12.5,83.3,42.9,3.7,37.5,45.0,106.0,53.0
NOP,NOP vs. IND,12/28/2019,,W,12,136.0,115.4,20.6,58.3,3.5,18.4,37.5,72.7,51.9,8.0,57.4,59.1,102.0,51.2
LAC,LAC vs. UTA,12/28/2019,,L,12,62.5,112.5,-50.0,50.0,0.67,6.9,18.8,63.6,37.0,12.5,25.0,33.1,96.0,-5.5
NYK,NYK @ WAS,12/28/2019,,W,12,84.0,91.7,-7.7,40.0,0.5,6.3,33.3,80.0,56.7,16.0,31.6,43.2,98.0,56.1
DET,DET @ SAS,12/28/2019,,L,12,120.8,145.8,-25.0,66.7,2.0,17.1,33.3,81.8,53.8,12.5,52.4,56.1,96.0,37.5
GSW,GSW vs. DAL,12/28/2019,,L,12,88.5,88.9,-0.4,50.0,0.67,12.5,16.7,87.5,57.1,23.1,47.4,53.1,106.0,47.0
TOR,TOR @ BOS,12/28/2019,,W,12,109.1,81.8,27.3,70.0,1.17,21.9,37.5,66.7,57.7,27.3,63.9,65.1,88.0,83.6
MIL,MIL vs. ORL,12/28/2019,,W,12,132.0,108.3,23.7,61.5,1.0,21.1,55.6,91.7,76.2,32.0,78.6,77.0,98.0,56.5
SAC,SAC vs. PHX,12/28/2019,,L,12,143.5,129.2,14.3,60.0,3.0,19.4,25.0,66.7,47.1,8.7,70.6,74.1,94.0,50.8
ATL,ATL @ CHI,12/28/2019,,L,12,72.7,143.5,-70.8,71.4,0.71,15.6,38.5,66.7,52.0,31.8,40.0,40.0,90.0,7.9
MIA,MIA vs. PHI,12/28/2019,,W,12,100.0,131.8,-31.8,50.0,4.0,12.9,26.7,70.0,44.0,4.3,43.2,45.9,90.0,35.8
CLE,CLE @ MIN,12/28/2019,,W,12,100.0,103.7,-3.7,57.1,0.67,11.4,33.3,63.2,51.6,22.2,44.1,57.2,108.0,59.1
BOS,BOS vs. TOR,12/28/2019,,L,12,81.8,109.1,-27.3,25.0,0.5,3.4,33.3,62.5,42.3,9.1,19.0,34.2,88.0,16.4
BKN,BKN @ HOU,12/28/2019,,L,12,73.1,80.0,-6.9,42.9,0.75,8.8,29.4,72.2,51.4,15.4,32.6,37.1,102.0,50.0
CHI,CHI vs. ATL,12/28/2019,,W,12,143.5,72.7,70.8,36.4,0.0,12.9,33.3,61.5,48.0,0.0,58.7,63.3,90.0,92.1
PHI,PHI @ MIA,12/28/2019,,L,12,131.8,100.0,31.8,41.7,2.5,16.7,30.0,73.3,56.0,9.1,66.7,63.7,90.0,64.2
HOU,HOU vs. BKN,12/28/2019,,W,12,80.0,73.1,6.9,37.5,0.75,9.1,27.8,70.6,48.6,16.0,37.5,38.8,102.0,50.0
UTA,UTA @ LAC,12/28/2019,,W,12,112.5,62.5,50.0,62.5,1.67,15.2,36.4,81.3,63.0,12.5,44.7,54.6,96.0,105.5
ORL,ORL @ MIL,12/28/2019,,L,12,108.3,132.0,-23.7,44.4,4.0,13.8,8.3,44.4,23.8,4.2,50.0,55.3,98.0,43.5
IND,IND @ NOP,12/28/2019,,L,12,115.4,136.0,-20.6,60.0,1.5,17.1,27.3,62.5,48.1,15.4,57.5,62.6,102.0,48.8
BOS,BOS vs. CLE,12/27/2019,,W,12,142.3,144.0,-1.7,50.0,1.75,18.9,40.0,75.0,55.6,15.4,71.7,73.4,102.0,45.5
PHX,PHX @ GSW,12/27/2019,,L,12,72.0,162.5,-90.5,33.3,0.4,6.7,23.1,50.0,34.8,20.0,33.3,41.8,98.0,-3.7
GSW,GSW vs. PHX,12/27/2019,,W,12,162.5,72.0,90.5,58.3,7.0,19.4,50.0,76.9,65.2,4.2,61.4,69.2,98.0,103.7
MIL,MIL @ ATL,12/27/2019,,W,12,96.6,82.1,14.4,58.3,1.17,18.4,16.7,93.3,59.3,20.7,56.5,57.6,114.0,65.0
CLE,CLE @ BOS,12/27/2019,,L,12,144.0,142.3,1.7,46.2,3.0,18.2,25.0,60.0,44.4,8.0,70.0,72.5,102.0,54.5
ATL,ATL vs. MIL,12/27/2019,,L,12,82.1,96.6,-14.4,55.6,1.0,14.7,6.7,83.3,40.7,17.9,45.7,46.4,114.0,35.0
PHI,PHI @ ORL,12/27/2019,,L,12,111.5,108.0,3.5,90.0,4.5,22.5,35.3,66.7,48.3,7.7,48.1,50.6,102.0,46.0
IND,IND @ MIA,12/27/2019,,L,12,125.0,120.8,4.2,50.0,0.0,18.2,23.1,66.7,44.0,0.0,56.0,58.0,96.0,50.4
OKC,OKC @ CHA,12/27/2019,,W,12,88.0,120.8,-32.8,25.0,0.4,7.1,20.0,58.3,40.9,20.0,44.4,52.2,98.0,35.7
CHA,CHA vs. OKC,12/27/2019,,L,12,120.8,88.0,32.8,46.2,1.5,17.1,41.7,80.0,59.1,16.7,58.0,58.0,98.0,64.3
MIA,MIA vs. IND,12/27/2019,,W,12,120.8,125.0,-4.2,50.0,2.0,17.6,33.3,76.9,56.0,12.5,56.3,58.3,96.0,49.6
ORL,ORL vs. PHI,12/27/2019,,W,12,108.0,111.5,-3.5,77.8,1.75,19.4,33.3,64.7,51.7,16.0,55.6,56.9,102.0,54.0
SAS,SAS @ DAL,12/26/2019,,L,12,104.3,95.8,8.5,55.6,1.25,17.9,0.0,83.3,47.6,17.4,58.3,62.1,94.0,52.0
DAL,DAL vs. SAS,12/26/2019,,W,12,95.8,104.3,-8.5,87.5,1.4,21.2,16.7,100.0,52.4,20.8,60.5,57.8,94.0,48.0
DET,DET vs. WAS,12/26/2019,,W,12,108.3,104.0,4.3,60.0,1.2,18.8,20.0,66.7,45.5,20.8,60.0,62.3,98.0,52.6
UTA,UTA vs. POR,12/26/2019,,W,12,100.0,150.0,-50.0,62.5,0.83,15.6,18.2,77.8,45.0,24.0,56.3,61.3,102.0,31.5
POR,POR @ UTA,12/26/2019,,L,12,150.0,100.0,50.0,25.0,4.0,12.5,22.2,81.8,55.0,3.8,74.0,75.3,102.0,68.5
OKC,OKC vs. MEM,12/26/2019,,L,12,104.5,104.3,0.2,55.6,2.5,17.2,18.2,80.0,47.6,9.1,50.0,52.8,90.0,46.8
SAC,SAC vs. MIN,12/26/2019,,L,12,50.0,90.5,-40.5,25.0,0.33,3.6,31.6,83.3,51.6,13.6,19.6,23.0,86.0,-11.1
MIN,MIN @ SAC,12/26/2019,,W,12,90.5,50.0,40.5,40.0,0.67,8.0,16.7,68.4,48.4,14.3,32.4,46.3,86.0,111.1
WAS,WAS @ DET,12/26/2019,,L,12,104.0,108.3,-4.3,63.6,1.17,19.4,33.3,80.0,54.5,24.0,56.8,56.8,98.0,47.4
NYK,NYK @ BKN,12/26/2019,,W,12,71.4,95.5,-24.0,50.0,0.6,11.1,27.3,70.6,53.6,23.8,35.3,40.0,86.0,36.1
MEM,MEM @ OKC,12/26/2019,,W,12,104.3,104.5,-0.2,36.4,2.0,13.8,20.0,81.8,52.4,8.7,54.8,54.8,90.0,53.2
BKN,BKN vs. NYK,12/26/2019,,L,12,95.5,71.4,24.0,80.0,0.0,12.9,29.4,72.7,46.4,0.0,31.0,40.6,86.0,63.9
GSW,GSW vs. HOU,12/25/2019,,W,12,100.0,73.9,26.1,83.3,1.25,16.1,16.7,86.7,55.6,16.7,50.0,58.8,94.0,89.8
HOU,HOU @ GSW,12/25/2019,,L,12,73.9,100.0,-26.1,33.3,0.67,7.4,13.3,83.3,44.4,13.0,35.0,38.3,94.0,10.2
MIL,MIL @ PHI,12/25/2019,,L,12,163.6,95.5,68.2,46.7,3.5,21.2,50.0,68.4,63.0,9.1,76.1,76.8,88.0,83.2
BOS,BOS @ TOR,12/25/2019,,W,12,111.1,122.2,-11.1,41.7,1.0,13.9,33.3,83.3,58.3,18.5,56.5,59.5,108.0,42.9
TOR,TOR vs. BOS,12/25/2019,,L,12,122.2,111.1,11.1,25.0,1.5,9.4,16.7,66.7,41.7,7.4,54.2,60.9,108.0,57.1
LAL,LAL vs. LAC,12/25/2019,,L,12,87.0,108.7,-21.7,37.5,1.0,10.0,25.0,69.2,44.8,13.0,43.2,42.9,92.0,27.9
DEN,DEN vs. NOP,12/25/2019,,L,12,95.2,127.3,-32.0,71.4,2.5,17.2,21.4,52.9,38.7,9.5,42.9,45.7,86.0,33.0
LAC,LAC @ LAL,12/25/2019,,W,12,108.7,87.0,21.7,57.1,2.0,12.9,30.8,75.0,55.2,8.7,37.5,51.2,92.0,72.1
PHI,PHI vs. MIL,12/25/2019,,W,12,95.5,163.6,-68.2,42.9,3.0,9.7,31.6,50.0,37.0,4.5,34.6,38.4,88.0,16.8
NOP,NOP @ DEN,12/25/2019,,W,12,127.3,95.2,32.0,70.0,7.0,18.9,47.1,78.6,61.3,4.5,48.1,50.2,86.0,67.0
SAS,SAS @ MEM,12/23/2019,,W,12,137.0,100.0,37.0,62.5,2.0,25.6,33.3,91.7,72.2,18.5,79.5,79.3,106.0,72.4
CHI,CHI @ ORL,12/23/2019,,L,12,60.9,83.3,-22.5,16.7,0.33,3.4,26.3,90.0,48.3,13.0,28.0,28.0,94.0,17.5
GSW,GSW vs. MIN,12/23/2019,,W,12,107.4,137.0,-29.6,87.5,0.88,20.0,12.5,64.3,45.5,29.6,66.7,74.7,108.0,39.4
HOU,HOU @ SAC,12/23/2019,,W,12,66.7,108.7,-42.0,33.3,0.25,3.7,13.3,66.7,33.3,16.7,26.5,39.0,94.0,2.5
MIN,MIN @ GSW,12/23/2019,,L,12,137.0,107.4,29.6,42.9,2.0,15.8,35.7,87.5,54.5,11.1,61.1,63.4,108.0,60.6
PHI,PHI @ DET,12/23/2019,,W,12,129.2,95.8,33.3,53.8,2.33,20.0,36.4,75.0,52.6,12.5,60.4,62.3,96.0,59.6
NYK,NYK vs. WAS,12/23/2019,,L,12,96.0,108.0,-12.0,50.0,1.25,13.5,43.8,76.9,58.6,16.0,42.3,44.6,100.0,37.7
NOP,NOP @ POR,12/23/2019,,W,12,90.9,73.9,17.0,50.0,1.33,13.3,28.6,81.3,56.7,13.6,43.2,43.7,90.0,60.0
MIA,MIA vs. UTA,12/23/2019,,W,12,124.0,92.0,32.0,27.3,1.0,9.7,30.0,75.0,57.7,12.0,59.5,65.6,100.0,73.3
WAS,WAS @ NYK,12/23/2019,,W,12,108.0,96.0,12.0,75.0,3.0,17.6,23.1,56.3,41.4,8.0,45.0,52.5,100.0,62.3
ATL,ATL @ CLE,12/23/2019,,L,12,88.9,100.0,-11.1,42.9,0.6,10.0,8.3,100.0,45.0,18.5,52.6,55.5,108.0,37.0
POR,POR vs. NOP,12/23/2019,,L,12,73.9,90.9,-17.0,50.0,1.5,10.3,18.8,71.4,43.3,8.7,33.3,37.3,90.0,40.0
DET,DET vs. PHI,12/23/2019,,L,12,95.8,129.2,-33.3,44.4,0.8,13.3,25.0,63.6,47.4,20.8,52.9,57.3,96.0,40.4
IND,IND vs. TOR,12/23/2019,,W,12,138.1,133.3,4.8,63.6,2.33,23.3,25.0,63.6,47.4,14.3,68.4,71.4,84.0,49.0
PHX,PHX vs. DEN,12/23/2019,,L,12,111.1,114.8,-3.7,72.7,1.33,22.9,0.0,88.9,44.4,22.2,65.0,68.9,108.0,43.9
CLE,CLE vs. ATL,12/23/2019,,W,12,100.0,88.9,11.1,36.4,0.57,12.9,0.0,91.7,55.0,25.9,65.8,67.9,108.0,63.0
SAC,SAC vs. HOU,12/23/2019,,L,12,108.7,66.7,42.0,30.0,0.75,10.3,33.3,86.7,66.7,17.4,58.3,56.9,94.0,97.5
MEM,MEM vs. SAS,12/23/2019,,L,12,100.0,137.0,-37.0,60.0,1.5,18.2,8.3,66.7,27.8,15.4,54.8,56.0,106.0,27.6
UTA,UTA @ MIA,12/23/2019,,L,12,92.0,124.0,-32.0,44.4,1.33,12.1,25.0,70.0,42.3,12.0,42.0,44.4,100.0,26.7
TOR,TOR @ IND,12/23/2019,,L,12,133.3,138.1,-4.8,66.7,6.0,19.4,36.4,75.0,52.6,4.8,61.1,62.5,84.0,51.0
DEN,DEN @ PHX,12/23/2019,,W,12,114.8,111.1,3.7,77.8,1.4,20.0,11.1,100.0,55.6,18.5,61.8,71.0,108.0,56.1
ORL,ORL vs. CHI,12/23/2019,,W,12,83.3,60.9,22.5,66.7,1.2,19.4,10.0,73.7,51.7,20.8,52.6,52.6,94.0,82.5
LAC,LAC @ OKC,12/22/2019,,L,12,95.8,128.0,-32.2,22.2,0.33,6.3,46.2,58.3,52.0,25.0,40.9,47.5,98.0,19.3
BOS,BOS vs. CHA,12/22/2019,,W,12,152.2,66.7,85.5,60.0,3.0,26.5,25.0,94.1,72.0,13.0,77.3,76.5,94.0,91.1
IND,IND @ MIL,12/22/2019,,L,12,66.7,147.8,-81.2,57.1,1.33,12.5,25.0,53.3,38.7,12.5,32.6,33.5,94.0,11.1
LAL,LAL vs. DEN,12/22/2019,,L,12,113.0,168.2,-55.1,60.0,1.0,20.0,16.7,33.3,27.8,26.1,75.0,77.0,90.0,33.9
MIL,MIL vs. IND,12/22/2019,,W,12,147.8,66.7,81.2,85.7,12.0,28.6,46.7,75.0,61.3,4.3,58.9,58.9,94.0,88.9
OKC,OKC vs. LAC,12/22/2019,,W,12,128.0,95.8,32.2,50.0,3.0,16.7,41.7,53.8,48.0,8.0,54.2,60.1,98.0,80.7
DAL,DAL @ TOR,12/22/2019,,L,12,75.0,174.1,-99.1,60.0,0.43,9.1,23.1,45.5,33.3,25.0,30.6,46.0,110.0,1.1
CHA,CHA @ BOS,12/22/2019,,L,12,66.7,152.2,-85.5,60.0,3.0,11.1,5.9,75.0,28.0,4.2,27.3,33.7,94.0,8.9
TOR,TOR vs. DAL,12/22/2019,,W,12,174.1,75.0,99.1,35.7,2.5,13.2,54.5,76.9,66.7,7.4,68.0,75.4,110.0,98.9
DEN,DEN @ LAL,12/22/2019,,W,12,168.2,113.0,55.1,76.9,3.33,25.0,66.7,83.3,72.2,13.6,65.2,67.5,90.0,66.1
POR,POR vs. MIN,12/21/2019,,W,12,111.1,96.3,14.8,30.0,0.75,9.4,16.7,73.3,48.1,14.8,50.0,58.8,108.0,58.8
MIL,MIL @ NYK,12/21/2019,,W,12,100.0,118.5,-18.5,50.0,0.67,10.5,46.2,75.0,60.0,21.4,47.4,52.9,110.0,45.2
PHI,PHI vs. WAS,12/21/2019,,W,12,148.0,116.7,31.3,57.1,4.0,22.2,33.3,80.0,57.9,8.0,73.9,74.7,98.0,63.6
SAC,SAC @ MEM,12/21/2019,,L,12,132.1,103.7,28.4,38.5,5.0,11.9,50.0,72.7,58.1,3.6,46.9,51.4,110.0,56.4
BKN,BKN vs. ATL,12/21/2019,,W,12,119.4,46.7,72.7,30.8,0.57,10.3,36.4,100.0,78.1,22.6,63.6,66.7,122.0,118.9
MIN,MIN @ POR,12/21/2019,,L,12,96.3,111.1,-14.8,55.6,1.0,13.9,26.7,83.3,51.9,18.5,50.0,52.3,108.0,41.2
ATL,ATL @ BKN,12/21/2019,,L,12,46.7,119.4,-72.7,16.7,0.33,3.2,0.0,63.6,21.9,10.0,23.1,25.6,122.0,-18.9
CHI,CHI @ DET,12/21/2019,,W,12,118.2,78.3,39.9,50.0,0.6,9.7,50.0,83.3,66.7,22.7,44.4,58.0,90.0,75.0
SAS,SAS vs. LAC,12/21/2019,,L,12,96.3,92.3,4.0,60.0,1.5,18.2,0.0,80.0,48.0,14.8,57.9,58.9,106.0,60.9
CHA,CHA vs. UTA,12/21/2019,,L,12,84.0,115.4,-31.4,28.6,0.4,6.7,21.4,70.0,41.7,20.0,37.5,44.6,102.0,24.7
DET,DET vs. CHI,12/21/2019,,L,12,78.3,118.2,-39.9,85.7,1.2,19.4,16.7,50.0,33.3,21.7,47.4,47.4,90.0,25.0
MEM,MEM vs. SAC,12/21/2019,,W,12,103.7,132.1,-28.4,57.1,0.67,11.8,27.3,50.0,41.9,22.2,46.9,60.8,110.0,43.6
PHX,PHX vs. HOU,12/21/2019,,L,12,111.1,122.2,-11.1,22.2,2.0,5.9,29.4,91.7,55.2,3.7,40.0,48.1,108.0,44.6
HOU,HOU @ PHX,12/21/2019,,W,12,122.2,111.1,11.1,45.5,1.67,15.2,8.3,70.6,44.8,11.1,65.2,67.8,108.0,55.4
WAS,WAS @ PHI,12/21/2019,,L,12,116.7,148.0,-31.3,40.0,1.33,13.3,20.0,66.7,42.1,12.5,55.3,61.0,98.0,36.4
LAC,LAC @ SAS,12/21/2019,,W,12,92.3,96.3,-4.0,50.0,1.25,14.7,20.0,100.0,52.0,15.4,47.9,47.4,106.0,39.1
UTA,UTA @ CHA,12/21/2019,,W,12,115.4,84.0,31.4,81.8,1.5,23.7,30.0,78.6,58.3,23.1,61.9,65.9,102.0,75.3
NYK,NYK vs. MIL,12/21/2019,,L,12,118.5,100.0,18.5,50.0,1.5,16.7,25.0,53.8,40.0,14.8,56.5,61.3,110.0,54.8
BOS,BOS vs. DET,12/20/2019,,W,12,88.5,92.3,-3.8,50.0,1.0,14.7,23.1,92.3,57.7,19.2,50.0,49.6,104.0,47.6
DAL,DAL @ PHI,12/20/2019,,W,12,131.8,100.0,31.8,40.0,1.33,14.8,14.3,53.3,40.9,13.6,68.8,74.3,86.0,71.4
CLE,CLE vs. MEM,12/20/2019,,W,12,132.0,76.9,55.1,50.0,0.0,13.5,41.2,63.6,53.8,0.0,47.9,53.9,102.0,83.1
ORL,ORL @ POR,12/20/2019,,L,12,116.7,108.7,8.0,60.0,1.5,17.1,41.7,75.0,58.3,16.7,50.0,55.8,94.0,62.2
SAC,SAC @ IND,12/20/2019,,L,12,108.3,112.5,-4.2,55.6,2.5,15.2,26.7,75.0,48.1,8.3,43.5,49.8,96.0,42.6
DET,DET @ BOS,12/20/2019,,L,12,92.3,88.5,3.8,55.6,1.67,15.6,7.7,76.9,42.3,11.5,45.5,50.5,104.0,52.4
MEM,MEM @ CLE,12/20/2019,,L,12,76.9,132.0,-55.1,75.0,2.0,15.4,36.4,58.8,46.2,11.5,32.8,33.5,102.0,16.9
OKC,OKC vs. PHX,12/20/2019,,W,12,113.6,81.0,32.7,45.5,1.25,16.1,40.0,38.1,38.7,18.2,54.8,57.1,86.0,79.4
NYK,NYK @ MIA,12/20/2019,,L,12,166.7,119.2,47.4,76.9,10.0,28.6,12.5,61.5,42.9,4.2,77.5,82.0,100.0,67.6
PHI,PHI vs. DAL,12/20/2019,,L,12,100.0,131.8,-31.8,66.7,1.5,17.6,46.7,85.7,59.1,19.0,43.8,43.8,86.0,28.6
MIN,MIN @ DEN,12/20/2019,,L,12,108.7,112.5,-3.8,60.0,1.2,19.4,22.2,80.0,52.6,21.7,60.5,62.9,94.0,52.9
TOR,TOR vs. WAS,12/20/2019,,W,12,104.0,132.0,-28.0,66.7,0.67,12.9,22.2,88.9,55.6,24.0,53.8,66.3,100.0,39.6
IND,IND vs. SAC,12/20/2019,,W,12,112.5,108.3,4.2,90.9,5.0,27.0,25.0,73.3,51.9,8.3,56.5,56.5,96.0,57.4
PHX,PHX @ OKC,12/20/2019,,L,12,81.0,113.6,-32.7,85.7,1.2,15.0,61.9,60.0,61.3,23.8,26.8,29.4,86.0,20.6
NOP,NOP @ GSW,12/20/2019,,L,12,91.3,116.7,-25.4,57.1,1.33,12.5,35.7,58.3,46.2,13.0,38.1,42.8,94.0,32.8
WAS,WAS @ TOR,12/20/2019,,L,12,132.0,104.0,28.0,50.0,6.0,18.8,11.1,77.8,44.4,4.0,69.0,69.8,100.0,60.4
GSW,GSW vs. NOP,12/20/2019,,W,12,116.7,91.3,25.4,16.7,0.33,3.3,41.7,64.3,53.8,12.5,38.9,57.9,94.0,67.2
MIA,MIA vs. NYK,12/20/2019,,W,12,119.2,166.7,-47.4,60.0,1.2,16.2,38.5,87.5,57.1,19.2,62.5,62.4,100.0,32.4
DEN,DEN vs. MIN,12/20/2019,,W,12,112.5,108.7,3.8,54.5,1.5,18.8,20.0,77.8,47.4,16.7,65.0,64.7,94.0,47.1
POR,POR vs. ORL,12/20/2019,,W,12,108.7,116.7,-8.0,42.9,0.75,10.3,25.0,58.3,41.7,17.4,50.0,56.9,94.0,37.8
LAL,LAL @ MIL,12/19/2019,,L,12,95.8,91.7,4.2,87.5,1.4,22.6,0.0,63.6,35.0,20.8,52.9,59.9,96.0,53.0
HOU,HOU @ LAC,12/19/2019,,W,12,123.1,115.4,7.7,22.2,0.67,6.3,30.8,81.8,54.2,11.5,50.0,58.9,104.0,50.0
BKN,BKN @ SAS,12/19/2019,,L,12,92.3,134.6,-42.3,33.3,0.4,6.7,16.7,61.5,40.0,19.2,33.3,50.6,104.0,21.2
MIL,MIL vs. LAL,12/19/2019,,W,12,91.7,95.8,-4.2,66.7,0.57,12.5,36.4,100.0,65.0,29.2,50.0,56.7,96.0,47.0
SAS,SAS vs. BKN,12/19/2019,,W,12,134.6,92.3,42.3,53.8,7.0,18.4,38.5,83.3,60.0,3.8,55.8,61.1,104.0,78.8
UTA,UTA @ ATL,12/19/2019,,W,12,107.7,84.6,23.1,33.3,1.33,11.1,37.5,73.3,54.8,11.5,50.0,48.9,104.0,68.4
LAC,LAC vs. HOU,12/19/2019,,L,12,115.4,123.1,-7.7,66.7,1.6,22.2,18.2,69.2,45.8,19.2,63.0,64.0,104.0,50.0
ATL,ATL vs. UTA,12/19/2019,,L,12,84.6,107.7,-23.1,50.0,0.8,11.8,26.7,62.5,45.2,19.2,43.5,46.1,104.0,31.6
DAL,DAL vs. BOS,12/18/2019,,L,12,115.4,126.9,-11.5,50.0,1.25,14.7,21.4,63.6,40.0,15.4,56.5,59.5,104.0,38.8
TOR,TOR @ DET,12/18/2019,,W,12,66.7,83.3,-16.7,80.0,2.0,13.3,11.8,91.7,44.8,8.3,28.6,34.5,96.0,29.1
CLE,CLE vs. CHA,12/18/2019,,W,12,100.0,147.8,-47.8,75.0,0.75,18.8,28.6,60.0,50.0,33.3,69.2,70.8,94.0,37.6
CHI,CHI @ WAS,12/18/2019,,W,12,100.0,52.0,48.0,44.4,2.0,12.9,14.3,68.8,43.3,8.0,43.5,49.6,100.0,94.8
GSW,GSW @ POR,12/18/2019,,L,12,80.0,100.0,-20.0,62.5,1.67,14.3,26.3,80.0,50.0,12.0,36.5,36.6,100.0,36.8
OKC,OKC vs. MEM,12/18/2019,,W,12,132.0,84.6,47.4,45.5,1.25,14.3,50.0,50.0,50.0,16.0,54.8,65.0,102.0,80.2
NOP,NOP @ MIN,12/18/2019,,W,12,90.9,122.7,-31.8,28.6,0.4,6.5,46.7,76.9,60.7,22.7,38.6,42.9,88.0,33.3
WAS,WAS vs. CHI,12/18/2019,,L,12,52.0,100.0,-48.0,60.0,0.43,9.1,31.3,85.7,56.7,28.0,26.2,28.6,100.0,5.2
