index,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season,PTS/Q
26,UTA,UTA vs. TOR,2020-03-09,L,36,70,25,63,0.3968253968253968,12,33,0.3636363636363637,8,12,0.6666666666666666,4,22,26,18,7,10,4,12,-6,1,TOR,76,29,63,0.4603174603174603,10,29,0.3448275862068966,8,8,1.0,7,30,37,17,15,5,1,12,71.21754563894524,71.21754563894524,94.95672751859365,98.290385286348,106.71527545374926,-9,2020-03-09,21,23.333333333333332
27,TOR,TOR @ UTA,2020-03-09,W,36,76,29,63,0.4603174603174603,10,29,0.3448275862068966,8,8,1.0,7,30,37,17,15,5,1,12,6,0,UTA,70,25,63,0.3968253968253968,12,33,0.3636363636363637,8,12,0.6666666666666666,4,22,26,18,7,10,4,12,71.21754563894524,71.21754563894524,94.95672751859365,106.71527545374926,98.290385286348,9,2020-03-09,21,25.333333333333332
28,MIL,MIL @ DEN,2020-03-09,L,36,71,26,71,0.3661971830985916,11,37,0.2972972972972973,8,12,0.6666666666666666,9,31,40,17,12,6,3,9,-5,0,DEN,76,29,70,0.4142857142857143,12,32,0.375,6,6,1.0,2,35,37,19,12,9,7,14,79.84617424242424,79.84617424242424,106.46156565656565,88.92097921239656,95.18302000200197,-14,2020-03-09,21,23.666666666666668
29,DEN,DEN vs. MIL,2020-03-09,W,36,76,29,70,0.4142857142857143,12,32,0.375,6,6,1.0,2,35,37,19,12,9,7,14,5,1,MIL,71,26,71,0.3661971830985916,11,37,0.2972972972972973,8,12,0.6666666666666666,9,31,40,17,12,6,3,9,79.84617424242424,79.84617424242424,106.46156565656565,95.18302000200197,88.92097921239656,14,2020-03-09,21,25.333333333333332
30,CHA,CHA @ ATL,2020-03-09,L,36,94,33,66,0.5,11,26,0.4230769230769231,17,19,0.8947368421052632,6,16,22,19,3,6,1,14,-4,0,ATL,98,38,63,0.6031746031746031,15,28,0.5357142857142857,7,15,0.4666666666666667,6,24,30,24,9,1,2,18,70.12127272727272,70.12127272727272,93.49503030303029,134.05347099959292,139.75787402085217,0,2020-03-09,21,31.333333333333332
31,ATL,ATL vs. CHA,2020-03-09,W,36,98,38,63,0.6031746031746031,15,28,0.5357142857142857,7,15,0.4666666666666667,6,24,30,24,9,1,2,18,4,1,CHA,94,33,66,0.5,11,26,0.4230769230769231,17,19,0.8947368421052632,6,16,22,19,3,6,1,14,70.12127272727272,70.12127272727272,93.49503030303029,139.75787402085217,134.05347099959292,0,2020-03-09,21,32.666666666666664
32,WAS,WAS vs. MIA,2020-03-08,L,36,72,20,55,0.3636363636363637,14,31,0.4516129032258064,18,20,0.9,3,23,26,14,12,8,2,20,0,1,MIA,72,24,53,0.4528301886792453,8,21,0.3809523809523809,16,20,0.8,5,28,33,14,16,7,6,21,71.41736751152074,71.41736751152074,95.22315668202765,100.8158134481578,100.8158134481578,-11,2020-03-08,20,24.0
33,TOR,TOR @ SAC,2020-03-08,W,36,78,27,62,0.4354838709677419,13,36,0.3611111111111111,11,15,0.7333333333333333,1,27,28,20,9,9,2,16,4,0,SAC,74,28,65,0.4307692307692308,5,22,0.2272727272727273,13,14,0.9285714285714286,7,33,40,15,10,5,4,13,74.17382352941176,74.17382352941176,98.89843137254901,105.15839185379336,99.76565381000908,5,2020-03-08,20,26.0
34,SAS,SAS @ CLE,2020-03-08,L,36,91,29,66,0.4393939393939394,5,16,0.3125,28,30,0.9333333333333332,6,25,31,13,7,11,5,20,4,0,CLE,87,29,64,0.453125,8,25,0.32,21,25,0.84,8,29,37,18,14,4,3,20,78.56717748917748,78.56717748917748,104.75623665223664,115.82444846327225,110.7332639154361,0,2020-03-08,20,30.333333333333332
35,SAC,SAC vs. TOR,2020-03-08,L,36,74,28,65,0.4307692307692308,5,22,0.2272727272727273,13,14,0.9285714285714286,7,33,40,15,10,5,4,13,-4,1,TOR,78,27,62,0.4354838709677419,13,36,0.3611111111111111,11,15,0.7333333333333333,1,27,28,20,9,9,2,16,74.17382352941176,74.17382352941176,98.89843137254901,99.76565381000908,105.15839185379336,-5,2020-03-08,20,24.666666666666668
36,PHX,PHX vs. MIL,2020-03-08,W,36,102,38,66,0.5757575757575758,17,33,0.5151515151515151,9,12,0.75,5,31,36,25,12,3,3,16,11,1,MIL,91,37,74,0.5,7,23,0.3043478260869565,10,13,0.7692307692307693,7,23,30,13,6,6,3,16,77.67855263157895,77.67855263157895,103.57140350877194,131.31037660263195,117.14945363568145,9,2020-03-08,20,34.0
38,OKC,OKC @ BOS,2020-03-08,W,36,83,28,58,0.4827586206896552,8,17,0.4705882352941176,19,25,0.76,3,29,32,13,14,7,6,14,-1,0,BOS,84,30,72,0.4166666666666667,13,36,0.3611111111111111,11,14,0.7857142857142857,8,26,34,17,9,9,4,17,77.78127679403542,77.78127679403542,103.70836905871388,106.7094851371285,107.99514158456378,1,2020-03-08,20,27.666666666666668
39,NYK,NYK vs. DET,2020-03-08,W,36,72,29,65,0.4461538461538462,4,13,0.3076923076923077,10,16,0.625,12,25,37,10,8,7,4,13,1,1,DET,71,25,61,0.4098360655737705,9,29,0.3103448275862069,12,18,0.6666666666666666,4,24,28,19,10,6,2,12,69.72344827586207,69.72344827586207,92.96459770114942,103.26511637108182,101.83087864370567,12,2020-03-08,20,24.0
40,NOP,NOP @ MIN,2020-03-08,W,36,98,37,71,0.5211267605633803,10,26,0.38461538461538464,14,21,0.6666666666666666,7,33,40,24,19,6,4,18,14,0,MIN,84,29,73,0.3972602739726027,5,22,0.2272727272727273,21,25,0.84,7,24,31,14,14,10,3,16,89.47308064516129,89.47308064516129,119.29744086021505,109.53015062558913,93.88298625050497,13,2020-03-08,20,32.666666666666664
41,MIN,MIN vs. NOP,2020-03-08,L,36,84,29,73,0.3972602739726027,5,22,0.2272727272727273,21,25,0.84,7,24,31,14,14,10,3,16,-14,1,NOP,98,37,71,0.5211267605633803,10,26,0.38461538461538464,14,21,0.6666666666666666,7,33,40,24,19,6,4,18,89.47308064516129,89.47308064516129,119.29744086021505,93.88298625050497,109.53015062558913,-13,2020-03-08,20,28.0
42,MIL,MIL @ PHX,2020-03-08,L,36,91,37,74,0.5,7,23,0.3043478260869565,10,13,0.7692307692307693,7,23,30,13,6,6,3,16,-11,0,PHX,102,38,66,0.5757575757575758,17,33,0.5151515151515151,9,12,0.75,5,31,36,25,12,3,3,16,77.67855263157895,77.67855263157895,103.57140350877194,117.14945363568145,131.31037660263195,-9,2020-03-08,20,30.333333333333332
43,MIA,MIA @ WAS,2020-03-08,W,36,72,24,53,0.4528301886792453,8,21,0.3809523809523809,16,20,0.8,5,28,33,14,16,7,6,21,0,0,WAS,72,20,55,0.3636363636363637,14,31,0.4516129032258064,18,20,0.9,3,23,26,14,12,8,2,20,71.41736751152074,71.41736751152074,95.22315668202765,100.8158134481578,100.8158134481578,11,2020-03-08,20,24.0
44,LAL,LAL @ LAC,2020-03-08,W,36,85,29,66,0.4393939393939394,8,27,0.2962962962962963,19,22,0.8636363636363636,6,26,32,17,12,7,6,19,4,0,LAC,81,28,69,0.4057971014492754,5,23,0.21739130434782608,20,26,0.7692307692307693,13,27,40,10,13,5,2,16,78.68924242424242,78.68924242424242,104.91898989898989,108.01984792499842,102.93656096382202,9,2020-03-08,20,28.333333333333332
45,LAC,LAC vs. LAL,2020-03-08,L,36,81,28,69,0.4057971014492754,5,23,0.21739130434782608,20,26,0.7692307692307693,13,27,40,10,13,5,2,16,-4,1,LAL,85,29,66,0.4393939393939394,8,27,0.2962962962962963,19,22,0.8636363636363636,6,26,32,17,12,7,6,19,78.68924242424242,78.68924242424242,104.91898989898989,102.93656096382202,108.01984792499842,-9,2020-03-08,20,27.0
46,IND,IND @ DAL,2020-03-08,W,36,86,35,67,0.5223880597014925,6,18,0.3333333333333333,10,16,0.625,5,32,37,18,8,3,3,18,2,0,DAL,84,30,70,0.42857142857142855,10,31,0.3225806451612903,14,19,0.7368421052631579,7,25,32,13,8,4,2,14,76.80564102564102,76.80564102564102,102.40752136752135,111.97094230525269,109.36696690280496,3,2020-03-08,20,28.666666666666668
48,DET,DET @ NYK,2020-03-08,L,36,71,25,61,0.4098360655737705,9,29,0.3103448275862069,12,18,0.6666666666666666,4,24,28,19,10,6,2,12,-1,0,NYK,72,29,65,0.4461538461538462,4,13,0.3076923076923077,10,16,0.625,12,25,37,10,8,7,4,13,69.72344827586207,69.72344827586207,92.96459770114942,101.83087864370567,103.26511637108182,-12,2020-03-08,20,23.666666666666668
49,DAL,DAL vs. IND,2020-03-08,L,36,84,30,70,0.42857142857142855,10,31,0.3225806451612903,14,19,0.7368421052631579,7,25,32,13,8,4,2,14,-2,1,IND,86,35,67,0.5223880597014925,6,18,0.3333333333333333,10,16,0.625,5,32,37,18,8,3,3,18,76.80564102564102,76.80564102564102,102.40752136752135,109.36696690280496,111.97094230525269,-3,2020-03-08,20,28.0
50,CLE,CLE vs. SAS,2020-03-08,W,36,87,29,64,0.453125,8,25,0.32,21,25,0.84,8,29,37,18,14,4,3,20,-4,1,SAS,91,29,66,0.4393939393939394,5,16,0.3125,28,30,0.9333333333333332,6,25,31,13,7,11,5,20,78.56717748917748,78.56717748917748,104.75623665223664,110.7332639154361,115.82444846327225,0,2020-03-08,20,29.0
51,CHI,CHI @ BKN,2020-03-08,L,36,70,27,68,0.3970588235294117,5,23,0.21739130434782608,11,17,0.6470588235294118,4,20,24,15,4,12,2,15,-7,0,BKN,77,27,54,0.5,11,29,0.3793103448275862,12,14,0.8571428571428571,4,35,39,18,22,2,4,16,75.5427564102564,75.5427564102564,100.7236752136752,92.66275593631389,101.92903152994528,-3,2020-03-08,20,23.333333333333332
52,BOS,BOS vs. OKC,2020-03-08,L,36,84,30,72,0.4166666666666667,13,36,0.3611111111111111,11,14,0.7857142857142857,8,26,34,17,9,9,4,17,1,1,OKC,83,28,58,0.4827586206896552,8,17,0.4705882352941176,19,25,0.76,3,29,32,13,14,7,6,14,77.78127679403542,77.78127679403542,103.70836905871388,107.99514158456378,106.7094851371285,-1,2020-03-08,20,28.0
53,BKN,BKN vs. CHI,2020-03-08,W,36,77,27,54,0.5,11,29,0.3793103448275862,12,14,0.8571428571428571,4,35,39,18,22,2,4,16,7,1,CHI,70,27,68,0.3970588235294117,5,23,0.21739130434782608,11,17,0.6470588235294118,4,20,24,15,4,12,2,15,75.5427564102564,75.5427564102564,100.7236752136752,101.92903152994528,92.66275593631389,3,2020-03-08,20,25.666666666666668
54,UTA,UTA @ DET,2020-03-07,W,36,79,32,63,0.5079365079365079,8,29,0.27586206896551724,7,10,0.7,8,24,32,14,8,9,3,13,6,0,DET,73,29,62,0.4677419354838709,6,22,0.2727272727272727,9,13,0.6923076923076923,6,21,27,18,10,3,2,12,67.99382758620689,67.99382758620689,90.65843678160918,116.18701697567883,107.36268657246274,6,2020-03-07,20,26.333333333333332
55,SAC,SAC @ POR,2020-03-07,W,36,100,36,74,0.4864864864864865,19,32,0.59375,9,11,0.8181818181818182,10,29,39,25,8,7,3,19,20,0,POR,80,28,66,0.42424242424242425,8,28,0.2857142857142857,16,23,0.6956521739130435,6,26,32,17,9,5,3,9,76.16763492063492,76.16763492063492,101.55684656084657,131.28935945588688,105.03148756470951,12,2020-03-07,20,33.333333333333336
56,POR,POR vs. SAC,2020-03-07,L,36,80,28,66,0.42424242424242425,8,28,0.2857142857142857,16,23,0.6956521739130435,6,26,32,17,9,5,3,9,-20,1,SAC,100,36,74,0.4864864864864865,19,32,0.59375,9,11,0.8181818181818182,10,29,39,25,8,7,3,19,76.16763492063492,76.16763492063492,101.55684656084657,105.03148756470951,131.28935945588688,-12,2020-03-07,20,26.666666666666668
57,PHI,PHI @ GSW,2020-03-07,L,36,90,33,63,0.5238095238095238,9,25,0.36,15,17,0.8823529411764706,7,23,30,24,5,3,2,13,8,0,GSW,82,32,62,0.5161290322580645,7,20,0.35,11,16,0.6875,7,19,26,22,6,3,1,14,66.53384615384616,66.53384615384616,88.71179487179487,135.26949846232108,123.24554304344811,-4,2020-03-07,20,30.0
58,MEM,MEM vs. ATL,2020-03-07,W,36,93,36,70,0.5142857142857142,9,26,0.3461538461538461,12,19,0.631578947368421,11,34,45,24,12,7,4,13,15,1,ATL,78,25,72,0.3472222222222222,9,36,0.25,19,22,0.8636363636363636,9,23,32,17,10,6,2,16,79.05209302325582,79.05209302325582,105.40279069767442,117.6439439404102,98.6691142726021,17,2020-03-07,20,31.0
