Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court
PHX,PHX vs. SAC,2020-01-07,L,12,16,4,14,28.6,1,7,14.3,7,8,87.5,1,5,6,1,6,1,2,9,-20,1
OKC,OKC @ BKN,2020-01-07,W,12,27,8,18,44.4,4,9,44.4,7,10,70.0,1,11,12,3,4,2,1,3,3,0
NYK,NYK @ LAL,2020-01-07,L,12,17,8,23,34.8,0,5,0.0,1,4,25.0,2,7,9,3,3,2,0,3,-15,0
MIN,MIN @ MEM,2020-01-07,L,12,28,8,17,47.1,4,10,40.0,8,9,88.9,0,5,5,4,5,2,0,5,-9,0
MEM,MEM vs. MIN,2020-01-07,W,12,37,15,26,57.7,4,8,50.0,3,3,100.0,4,8,12,5,2,4,1,5,9,1
LAL,LAL vs. NYK,2020-01-07,W,12,32,12,22,54.5,7,13,53.8,1,2,50.0,3,12,15,8,5,2,4,5,15,1
DET,DET @ CLE,2020-01-07,W,12,31,11,21,52.4,4,8,50.0,5,6,83.3,2,11,13,6,2,3,2,4,13,0
CLE,CLE vs. DET,2020-01-07,L,12,18,5,21,23.8,3,8,37.5,5,5,100.0,5,7,12,4,4,1,0,6,-13,1
BKN,BKN vs. OKC,2020-01-07,L,12,24,9,23,39.1,4,7,57.1,2,3,66.7,2,8,10,4,3,0,0,7,-3,1
WAS,WAS vs. BOS,2020-01-06,W,12,25,9,20,45.0,0,3,0.0,7,10,70.0,2,10,12,1,2,2,2,4,3,1
UTA,UTA @ NOP,2020-01-06,W,12,33,12,19,63.2,3,5,60.0,6,7,85.7,0,10,10,6,2,1,1,7,4,0
SAS,SAS vs. MIL,2020-01-06,W,12,35,12,18,66.7,4,7,57.1,7,9,77.8,1,11,12,6,3,1,0,4,12,1
SAC,SAC vs. GSW,2020-01-06,W,12,21,6,20,30.0,2,6,33.3,7,8,87.5,4,8,12,4,9,4,0,8,-13,1
PHI,PHI vs. OKC,2020-01-06,W,12,30,11,21,52.4,3,7,42.9,5,6,83.3,4,9,13,9,3,0,0,9,3,1
ORL,ORL vs. BKN,2020-01-06,W,12,26,7,19,36.8,2,5,40.0,10,11,90.9,5,14,19,6,4,2,0,5,8,1
OKC,OKC @ PHI,2020-01-06,L,12,27,10,22,45.5,1,5,20.0,6,10,60.0,2,6,8,5,2,0,1,7,-3,0
NOP,NOP vs. UTA,2020-01-06,L,12,29,8,20,40.0,3,7,42.9,10,12,83.3,3,7,10,4,1,1,1,6,-4,1
MIL,MIL @ SAS,2020-01-06,L,12,23,9,21,42.9,2,10,20.0,3,4,75.0,1,4,5,8,3,0,0,5,-12,0
IND,IND @ CHA,2020-01-06,W,12,36,14,18,77.8,3,5,60.0,5,7,71.4,2,3,5,9,5,0,0,10,-3,0
GSW,GSW @ SAC,2020-01-06,L,12,34,11,20,55.0,2,5,40.0,10,12,83.3,1,9,10,5,5,5,2,6,13,0
DEN,DEN @ ATL,2020-01-06,W,12,32,13,23,56.5,2,7,28.6,4,5,80.0,3,8,11,5,1,1,1,7,3,0
DAL,DAL vs. CHI,2020-01-06,W,12,30,11,22,50.0,6,15,40.0,2,4,50.0,4,7,11,8,3,1,2,2,2,1
CHI,CHI @ DAL,2020-01-06,L,12,28,13,24,54.2,2,8,25.0,0,0,0.0,3,7,10,8,3,2,1,5,-2,0
CHA,CHA vs. IND,2020-01-06,L,12,39,12,19,63.2,2,6,33.3,13,14,92.9,3,4,7,3,1,1,0,5,3,1
BOS,BOS @ WAS,2020-01-06,L,12,22,8,24,33.3,2,11,18.2,4,6,66.7,4,10,14,4,5,1,2,7,-3,0
BKN,BKN @ ORL,2020-01-06,L,12,18,7,23,30.4,2,9,22.2,2,4,50.0,4,6,10,4,2,2,0,7,-8,0
ATL,ATL vs. DEN,2020-01-06,L,12,29,9,19,47.4,3,7,42.9,8,9,88.9,1,6,7,4,2,1,2,5,-3,1
POR,POR @ MIA,2020-01-05,L,12,30,11,22,50.0,5,13,38.5,3,4,75.0,3,9,12,4,4,2,0,5,2,0
PHX,PHX vs. MEM,2020-01-05,L,12,37,11,24,45.8,3,9,33.3,12,12,100.0,1,8,9,9,1,5,2,7,12,1
NYK,NYK @ LAC,2020-01-05,L,12,32,10,18,55.6,2,5,40.0,10,15,66.7,2,9,11,1,3,2,2,6,11,0
MIN,MIN @ CLE,2020-01-05,W,12,24,9,19,47.4,3,8,37.5,3,4,75.0,2,6,8,6,5,5,4,4,0,0
MIA,MIA vs. POR,2020-01-05,W,12,28,10,22,45.5,5,13,38.5,3,4,75.0,4,7,11,7,4,1,0,4,-2,1
MEM,MEM @ PHX,2020-01-05,W,12,25,8,15,53.3,3,7,42.9,6,7,85.7,0,10,10,6,9,0,2,9,-12,0
LAL,LAL vs. DET,2020-01-05,W,12,31,10,20,50.0,1,3,33.3,10,13,76.9,4,13,17,5,6,3,4,4,11,1
LAC,LAC vs. NYK,2020-01-05,W,12,21,7,19,36.8,1,5,20.0,6,10,60.0,4,10,14,4,4,1,1,10,-11,1
DET,DET @ LAL,2020-01-05,L,12,20,6,20,30.0,2,7,28.6,6,7,85.7,1,7,8,5,5,4,0,9,-11,0
CLE,CLE vs. MIN,2020-01-05,L,12,24,9,20,45.0,3,7,42.9,3,4,75.0,3,9,12,3,6,1,0,3,0,1
WAS,WAS vs. DEN,2020-01-04,W,12,33,13,25,52.0,1,6,16.7,6,8,75.0,5,9,14,2,0,3,1,5,9,1
UTA,UTA @ ORL,2020-01-04,W,12,33,12,24,50.0,8,13,61.5,1,2,50.0,4,8,12,8,1,1,2,2,12,0
TOR,TOR @ BKN,2020-01-04,W,12,38,12,20,60.0,5,9,55.6,9,10,90.0,1,9,10,6,2,3,0,9,16,0
SAS,SAS @ MIL,2020-01-04,L,12,27,7,22,31.8,3,11,27.3,10,12,83.3,3,10,13,5,2,4,0,5,3,0
SAC,SAC vs. NOP,2020-01-04,L,12,35,12,23,52.2,5,7,71.4,6,6,100.0,3,6,9,8,4,1,1,8,-6,1
ORL,ORL vs. UTA,2020-01-04,L,12,21,8,19,42.1,4,10,40.0,1,2,50.0,3,7,10,3,4,0,1,2,-12,1
OKC,OKC @ CLE,2020-01-04,W,12,30,9,23,39.1,3,11,27.3,9,14,64.3,6,6,12,3,2,3,1,6,3,0
NOP,NOP @ SAC,2020-01-04,W,12,41,12,24,50.0,5,14,35.7,12,15,80.0,5,8,13,11,2,1,0,6,6,0
MIL,MIL vs. SAS,2020-01-04,W,12,24,9,21,42.9,3,11,27.3,3,7,42.9,3,13,16,3,5,0,2,7,-3,1
MEM,MEM @ LAC,2020-01-04,W,12,36,13,20,65.0,3,5,60.0,7,8,87.5,0,10,10,9,2,1,0,6,2,0
LAC,LAC vs. MEM,2020-01-04,L,12,34,14,27,51.9,2,9,22.2,4,5,80.0,3,6,9,6,2,0,0,6,-2,1
IND,IND @ ATL,2020-01-04,L,12,16,6,23,26.1,0,4,0.0,4,8,50.0,5,9,14,3,5,2,3,7,-4,0
GSW,GSW vs. DET,2020-01-04,L,12,24,7,19,36.8,2,5,40.0,8,8,100.0,1,8,9,5,4,3,1,7,-4,1
DET,DET @ GSW,2020-01-04,W,12,28,10,20,50.0,1,4,25.0,7,8,87.5,2,11,13,5,4,4,1,6,4,0
DEN,DEN @ WAS,2020-01-04,L,12,24,8,20,40.0,2,8,25.0,6,6,100.0,3,4,7,5,4,0,0,9,-9,0
DAL,DAL vs. CHA,2020-01-04,L,12,19,8,20,40.0,2,11,18.2,1,1,100.0,2,7,9,4,4,3,1,6,-4,1
CLE,CLE vs. OKC,2020-01-04,L,12,27,10,21,47.6,3,6,50.0,4,5,80.0,4,9,13,5,6,2,0,9,-3,1
CHI,CHI vs. BOS,2020-01-04,L,12,31,13,24,54.2,2,8,25.0,3,5,60.0,3,4,7,6,4,6,0,10,5,1
CHA,CHA @ DAL,2020-01-04,W,12,23,8,19,42.1,3,8,37.5,4,6,66.7,5,9,14,5,5,1,2,4,4,0
BOS,BOS @ CHI,2020-01-04,W,12,26,9,14,64.3,1,2,50.0,7,9,77.8,2,6,8,3,8,2,1,7,-5,0
BKN,BKN vs. TOR,2020-01-04,L,12,22,6,16,37.5,1,6,16.7,9,14,64.3,1,5,6,6,5,2,2,8,-16,1
ATL,ATL vs. IND,2020-01-04,W,12,20,7,19,36.8,0,7,0.0,6,7,85.7,1,10,11,3,5,4,2,8,4,1
WAS,WAS vs. POR,2020-01-03,L,12,25,10,19,52.6,3,7,42.9,2,6,33.3,2,5,7,5,2,1,1,7,-6,1
POR,POR @ WAS,2020-01-03,W,12,31,11,22,50.0,2,4,50.0,7,7,100.0,4,6,10,5,1,1,1,5,6,0
PHX,PHX vs. NYK,2020-01-03,W,12,37,11,23,47.8,6,14,42.9,9,13,69.2,4,12,16,7,2,2,1,5,12,1
PHI,PHI @ HOU,2020-01-03,L,12,24,10,23,43.5,0,6,0.0,4,7,57.1,3,7,10,9,1,2,1,5,2,0
ORL,ORL vs. MIA,2020-01-03,W,12,21,7,17,41.2,1,6,16.7,6,6,100.0,1,11,12,5,2,5,2,1,15,1
NYK,NYK @ PHX,2020-01-03,L,12,25,9,22,40.9,2,11,18.2,5,6,83.3,1,9,10,6,3,1,2,9,-12,0
NOP,NOP @ LAL,2020-01-03,L,12,30,13,22,59.1,1,5,20.0,3,3,100.0,1,12,13,7,3,2,2,3,12,0
MIA,MIA @ ORL,2020-01-03,L,12,6,3,19,15.8,0,10,0.0,0,0,0.0,4,9,13,2,6,1,1,4,-15,0
LAL,LAL vs. NOP,2020-01-03,W,12,18,8,21,38.1,1,8,12.5,1,3,33.3,2,7,9,3,5,3,2,3,-12,1
HOU,HOU vs. PHI,2020-01-03,W,12,22,8,16,50.0,3,8,37.5,3,7,42.9,1,11,12,4,7,0,1,7,-2,1
BOS,BOS vs. ATL,2020-01-03,W,12,27,9,20,45.0,2,6,33.3,7,10,70.0,0,9,9,5,5,2,3,4,1,1
ATL,ATL @ BOS,2020-01-03,L,12,26,10,21,47.6,2,6,33.3,4,5,80.0,1,10,11,5,5,1,2,6,-1,0
UTA,UTA @ CHI,2020-01-02,W,12,26,9,19,47.4,0,4,0.0,8,8,100.0,2,5,7,6,2,0,2,5,-2,0
TOR,TOR @ MIA,2020-01-02,L,12,16,7,25,28.0,1,11,9.1,1,2,50.0,6,5,11,5,2,0,1,3,-5,0
SAS,SAS vs. OKC,2020-01-02,L,12,27,12,27,44.4,3,8,37.5,0,0,0.0,4,4,8,7,2,1,3,5,-8,1
SAC,SAC vs. MEM,2020-01-02,W,12,38,13,21,61.9,1,5,20.0,11,14,78.6,1,8,9,7,3,4,2,6,12,1
OKC,OKC @ SAS,2020-01-02,W,12,35,15,24,62.5,2,3,66.7,3,3,100.0,3,9,12,8,1,2,0,4,8,0
MIN,MIN vs. GSW,2020-01-02,W,12,18,7,26,26.9,3,14,21.4,1,2,50.0,7,9,16,2,3,1,4,3,1,1
MIA,MIA vs. TOR,2020-01-02,W,12,21,8,17,47.1,3,9,33.3,2,3,66.7,2,10,12,6,6,1,1,5,5,1
MEM,MEM @ SAC,2020-01-02,L,12,26,10,24,41.7,1,8,12.5,5,6,83.3,4,7,11,3,7,2,0,9,-12,0
LAC,LAC vs. DET,2020-01-02,W,12,20,8,20,40.0,2,7,28.6,2,4,50.0,4,9,13,5,5,0,1,7,-13,1
IND,IND vs. DEN,2020-01-02,L,12,28,10,20,50.0,3,5,60.0,5,7,71.4,2,5,7,9,1,0,1,6,-4,1
GSW,GSW @ MIN,2020-01-02,L,12,17,8,20,40.0,0,2,0.0,1,1,100.0,2,10,12,2,3,1,0,5,-1,0
DET,DET @ LAC,2020-01-02,L,12,33,12,25,48.0,2,10,20.0,7,10,70.0,5,9,14,7,0,2,0,4,13,0
DEN,DEN @ IND,2020-01-02,W,12,32,11,22,50.0,1,6,16.7,9,9,100.0,6,9,15,3,1,0,0,7,4,0
DAL,DAL vs. BKN,2020-01-02,W,12,30,12,21,57.1,4,7,57.1,2,2,100.0,2,10,12,4,3,2,0,2,12,1
