index,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season
29,DEN,DEN vs. MIL,2020-03-09,W,12,33,12,24,50.0,4,9,44.4,5,6,83.3,4,7,11,9,2,2,1,6,9,1,MIL,24,8,19,42.1,4,13,30.8,4,6,66.7,2,6,8,6,5,2,1,6,23.52422222222222,23.52422222222222,94.09688888888888,140.28093974059834,102.02250162952606,14,2020-03-09,21
30,CHA,CHA @ ATL,2020-03-09,L,12,28,9,21,42.9,6,14,42.9,4,4,100.0,0,7,7,8,0,2,1,5,4,0,ATL,24,8,17,47.1,4,9,44.4,4,7,57.1,3,10,13,7,5,0,3,5,22.2555,22.2555,89.022,125.81159713329288,107.83851182853677,0,2020-03-09,21
31,ATL,ATL vs. CHA,2020-03-09,W,12,24,8,17,47.1,4,9,44.4,4,7,57.1,3,10,13,7,5,0,3,5,-4,1,CHA,28,9,21,42.9,6,14,42.9,4,4,100.0,0,7,7,8,0,2,1,5,22.2555,22.2555,89.022,107.83851182853677,125.81159713329288,0,2020-03-09,21
32,WAS,WAS vs. MIA,2020-03-08,L,12,17,6,23,26.1,5,16,31.3,0,1,0.0,1,2,3,5,2,3,0,6,-11,1,MIA,28,8,13,61.5,5,7,71.4,7,8,87.5,0,13,13,7,7,0,2,4,23.65035714285714,23.65035714285714,94.60142857142856,71.88052128478883,118.39144682200514,-11,2020-03-08,20
33,TOR,TOR @ SAC,2020-03-08,W,12,40,12,20,60.0,6,12,50.0,10,12,83.3,1,7,8,7,0,1,1,6,1,0,SAC,39,14,25,56.0,3,9,33.3,8,9,88.9,3,7,10,9,1,0,3,9,24.899500000000003,24.899500000000003,99.59800000000001,160.64579610032328,156.6296511978152,5,2020-03-08,20
34,SAS,SAS @ CLE,2020-03-08,L,12,27,11,22,50.0,4,5,80.0,1,1,100.0,0,8,8,7,2,2,0,8,-4,0,CLE,31,11,22,50.0,4,7,57.1,5,10,50.0,4,11,15,7,2,0,1,1,24.238333333333333,24.238333333333333,96.95333333333333,111.39379770336244,127.89658254830502,0,2020-03-08,20
35,SAC,SAC vs. TOR,2020-03-08,L,12,39,14,25,56.0,3,9,33.3,8,9,88.9,3,7,10,9,1,0,3,9,-1,1,TOR,40,12,20,60.0,6,12,50.0,10,12,83.3,1,7,8,7,0,1,1,6,24.899500000000003,24.899500000000003,99.59800000000001,156.6296511978152,160.64579610032328,-5,2020-03-08,20
36,PHX,PHX vs. MIL,2020-03-08,W,12,38,9,19,47.4,2,10,20.0,18,19,94.7,3,8,11,5,3,3,1,7,-2,1,MIL,40,14,21,66.7,6,10,60.0,6,8,75.0,0,6,6,10,4,1,0,13,27.116666666666667,27.116666666666667,108.46666666666667,140.13521819299325,147.51075599262447,9,2020-03-08,20
38,OKC,OKC @ BOS,2020-03-08,W,12,22,7,21,33.3,2,8,25.0,6,9,66.7,1,6,7,3,4,2,1,8,2,0,BOS,20,8,20,40.0,0,1,0.0,4,5,80.0,3,9,12,5,4,0,1,8,24.411,24.411,97.644,90.12330506738765,81.93027733398877,1,2020-03-08,20
39,NYK,NYK vs. DET,2020-03-08,W,12,24,7,17,41.2,2,6,33.3,8,9,88.9,1,13,14,5,4,3,1,3,11,1,DET,13,4,19,21.1,2,9,22.2,3,4,75.0,1,6,7,2,3,2,0,7,22.762500000000003,22.762500000000003,91.05000000000001,105.43657331136738,57.11147721032399,12,2020-03-08,20
40,NOP,NOP @ MIN,2020-03-08,W,12,22,7,19,36.8,1,9,11.1,7,10,70.0,3,11,14,4,6,1,1,5,-1,0,MIN,23,8,21,38.1,3,11,27.3,4,6,66.7,2,9,11,6,3,5,0,7,25.025,25.025,100.1,87.91208791208793,91.90809190809192,13,2020-03-08,20
