Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
WAS,WAS @ LAL,11/29/2019,,L,12,30,8,22,36.4,4,11,36.4,10,10,100.0,2,10,12,7,5,3,0,7,-5
DAL,DAL @ PHX,11/29/2019,,W,12,36,10,21,47.6,7,13,53.8,9,10,90.0,3,6,9,5,0,0,0,5,-3
BOS,BOS vs. BKN,11/27/2019,,W,12,34,11,30,36.7,3,8,37.5,9,9,100.0,9,10,19,7,2,3,2,5,11
WAS,WAS @ PHX,11/27/2019,,W,12,34,13,24,54.2,5,12,41.7,3,4,75.0,1,10,11,7,1,3,0,3,8
TOR,TOR vs. NYK,11/27/2019,,W,12,31,10,23,43.5,5,7,71.4,6,8,75.0,6,10,16,7,4,2,2,2,8
LAC,LAC @ MEM,11/27/2019,,W,12,28,9,22,40.9,5,15,33.3,5,8,62.5,4,5,9,6,4,3,1,4,0
UTA,UTA @ IND,11/27/2019,,L,12,37,13,25,52.0,7,11,63.6,4,5,80.0,5,7,12,9,4,2,0,7,1
DET,DET @ CHA,11/27/2019,,L,12,20,9,26,34.6,2,11,18.2,0,2,0.0,3,9,12,5,1,1,1,6,-11
SAC,SAC @ PHI,11/27/2019,,L,12,19,7,20,35.0,4,12,33.3,1,2,50.0,0,8,8,5,5,3,0,6,-10
CHA,CHA vs. DET,11/27/2019,,W,12,31,12,23,52.2,2,8,25.0,5,6,83.3,2,10,12,9,1,0,2,4,11
SAS,SAS vs. MIN,11/27/2019,,L,12,31,13,25,52.0,2,7,28.6,3,5,60.0,1,9,10,10,1,1,1,4,7
CHI,CHI @ GSW,11/27/2019,,L,12,25,12,25,48.0,1,8,12.5,0,1,0.0,6,5,11,5,6,4,1,3,0
NOP,NOP vs. LAL,11/27/2019,,L,12,25,7,19,36.8,3,11,27.3,8,11,72.7,4,9,13,5,7,1,2,5,0
GSW,GSW vs. CHI,11/27/2019,,W,12,25,10,18,55.6,2,5,40.0,3,3,100.0,2,7,9,8,8,4,3,4,0
OKC,OKC @ POR,11/27/2019,,L,12,27,6,19,31.6,1,8,12.5,14,17,82.4,1,5,6,3,0,0,0,6,-14
CLE,CLE vs. ORL,11/27/2019,,L,12,21,7,22,31.8,3,13,23.1,4,4,100.0,3,9,12,4,6,1,0,3,-7
PHI,PHI vs. SAC,11/27/2019,,W,12,29,9,18,50.0,2,7,28.6,9,10,90.0,1,13,14,5,4,5,4,1,10
POR,POR vs. OKC,11/27/2019,,W,12,41,14,24,58.3,6,10,60.0,7,7,100.0,2,15,17,5,1,0,0,11,14
HOU,HOU vs. MIA,11/27/2019,,W,12,25,6,15,40.0,1,8,12.5,12,16,75.0,3,9,12,2,6,3,0,7,-1
ORL,ORL @ CLE,11/27/2019,,W,12,28,12,23,52.2,2,6,33.3,2,2,100.0,2,10,12,3,3,3,1,5,7
ATL,ATL @ MIL,11/27/2019,,L,12,23,9,23,39.1,2,11,18.2,3,6,50.0,2,9,11,5,3,0,2,5,2
PHX,PHX vs. WAS,11/27/2019,,L,12,26,10,24,41.7,3,12,25.0,3,3,100.0,3,10,13,4,4,1,1,2,-8
IND,IND vs. UTA,11/27/2019,,W,12,36,13,21,61.9,4,7,57.1,6,6,100.0,1,5,6,4,3,3,1,5,-1
