Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
PHX,PHX vs. POR,12/16/2019,,L,12,34,14,25,56.0,4,10,40.0,2,2,100.0,1,7,8,11,6,3,1,6,0
SAS,SAS @ HOU,12/16/2019,,L,12,37,14,23,60.9,6,9,66.7,3,3,100.0,1,12,13,7,10,2,1,8,5
MEM,MEM vs. MIA,12/16/2019,,W,12,37,13,21,61.9,4,8,50.0,7,11,63.6,2,7,9,12,1,3,0,6,11
OKC,OKC vs. CHI,12/16/2019,,W,12,33,10,19,52.6,4,9,44.4,9,10,90.0,3,9,12,7,5,2,1,2,2
MIA,MIA @ MEM,12/16/2019,,L,12,26,7,16,43.8,1,5,20.0,11,12,91.7,1,6,7,3,5,0,0,9,-11
CLE,CLE @ TOR,12/16/2019,,L,12,25,9,23,39.1,3,11,27.3,4,6,66.7,3,8,11,7,2,1,1,4,-4
TOR,TOR vs. CLE,12/16/2019,,W,12,29,13,24,54.2,1,5,20.0,2,3,66.7,2,11,13,9,2,2,0,6,4
NYK,NYK @ DEN,12/15/2019,,L,12,29,13,23,56.5,2,8,25.0,1,1,100.0,3,8,11,5,6,3,0,5,-5
IND,IND vs. CHA,12/15/2019,,W,12,26,10,22,45.5,2,8,25.0,4,4,100.0,1,10,11,7,1,1,2,5,2
PHI,PHI @ BKN,12/15/2019,,L,12,20,8,20,40.0,1,4,25.0,3,4,75.0,1,9,10,7,5,2,1,5,-9
NOP,NOP vs. ORL,12/15/2019,,L,12,27,10,20,50.0,4,9,44.4,3,5,60.0,3,9,12,6,7,1,2,8,-7
ATL,ATL vs. LAL,12/15/2019,,L,12,23,6,21,28.6,2,11,18.2,9,10,90.0,0,8,8,4,4,2,0,7,-8
CHA,CHA @ IND,12/15/2019,,L,12,24,9,28,32.1,2,8,25.0,4,5,80.0,8,9,17,6,2,1,2,5,-2
GSW,GSW vs. SAC,12/15/2019,,L,12,24,9,16,56.3,0,3,0.0,6,7,85.7,1,5,6,7,7,6,0,4,-1
SAC,SAC @ GSW,12/15/2019,,W,12,25,9,16,56.3,3,7,42.9,4,4,100.0,1,5,6,5,9,4,1,8,1
BKN,BKN vs. PHI,12/15/2019,,W,12,29,11,23,47.8,2,5,40.0,5,7,71.4,3,11,14,4,3,3,0,5,9
LAL,LAL @ ATL,12/15/2019,,W,12,31,10,19,52.6,2,8,25.0,9,12,75.0,3,14,17,3,7,4,2,10,8
ORL,ORL @ NOP,12/15/2019,,W,12,34,12,26,46.2,4,10,40.0,6,6,100.0,4,7,11,6,2,3,0,4,7
DEN,DEN vs. NYK,12/15/2019,,W,12,34,15,27,55.6,2,7,28.6,2,3,66.7,4,7,11,8,3,3,0,1,5
SAS,SAS @ PHX,12/14/2019,,W,12,16,7,24,29.2,1,9,11.1,1,1,100.0,1,13,14,5,5,0,0,10,-14
TOR,TOR vs. BKN,12/14/2019,,W,12,27,10,25,40.0,2,11,18.2,5,6,83.3,1,9,10,5,1,2,3,6,-2
OKC,OKC @ DEN,12/14/2019,,L,12,29,10,18,55.6,2,7,28.6,7,7,100.0,0,9,9,7,2,1,0,4,4
DEN,DEN vs. OKC,12/14/2019,,W,12,25,10,19,52.6,3,11,27.3,2,3,66.7,0,8,8,7,4,1,0,7,-4
WAS,WAS @ MEM,12/14/2019,,L,12,24,9,28,32.1,4,12,33.3,2,4,50.0,3,4,7,6,2,5,0,5,-10
MEM,MEM vs. WAS,12/14/2019,,W,12,34,12,17,70.6,4,9,44.4,6,7,85.7,1,16,17,10,9,2,0,5,10
PHX,PHX vs. SAS,12/14/2019,,L,12,30,11,23,47.8,2,8,25.0,6,11,54.5,1,14,15,6,1,3,1,3,14
DET,DET @ HOU,12/14/2019,,W,12,32,11,24,45.8,5,14,35.7,5,7,71.4,1,10,11,9,0,1,0,1,12
CLE,CLE @ MIL,12/14/2019,,L,12,31,11,19,57.9,5,6,83.3,4,5,80.0,3,5,8,10,6,2,1,4,-12
DAL,DAL vs. MIA,12/14/2019,,L,12,27,9,23,39.1,5,11,45.5,4,8,50.0,0,9,9,7,3,2,0,9,-9
LAC,LAC @ CHI,12/14/2019,,L,12,28,11,21,52.4,1,3,33.3,5,8,62.5,0,8,8,5,4,3,0,4,-3
CHI,CHI vs. LAC,12/14/2019,,W,12,31,11,21,52.4,3,7,42.9,6,6,100.0,1,12,13,7,3,4,3,7,3
